case_path,defect_type,n_sites,element,variant_id,natoms,model,fmax,steps_max,energy_poscar_eV,energy_contcar_mace_eV,delta_relax_eV,energy_poscar_eV_per_atom,energy_contcar_mace_eV_per_atom,status,error_message,started_at_utc,finished_at_utc,runtime_s,worker
/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/__variations__/defects/vacancy/1-site/v0001,vacancy,1,Si,v0001,63,mace,,,-349.1558520632936,-351.3827886359583,-2.22693657266467,-5.542156381957041,-5.577504581523147,ok,,,2026-03-09T19:38:04Z,,finalizer
/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/__variations__/defects/vacancy/1-site/v0002,vacancy,1,Si,v0002,63,mace,,,-348.0596131146481,-351.3827594442463,-3.323146329598217,-5.524755763724572,-5.57750411816264,ok,,,2026-03-09T19:38:04Z,,finalizer
/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/__variations__/defects/vacancy/1-site/v0003,vacancy,1,Si,v0003,63,mace,,,-348.0436585264828,-349.7397878903958,-1.696129363912974,-5.524502516293378,-5.551425204609457,ok,,,2026-03-09T19:38:04Z,,finalizer
/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/__variations__/defects/vacancy/1-site/v0004,vacancy,1,Si,v0004,63,mace,,,-347.9231658792774,-349.4859687257742,-1.562802846496822,-5.522589934591704,-5.547396328980543,ok,,,2026-03-09T19:38:04Z,,finalizer
/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/__variations__/defects/vacancy/1-site/v0005,vacancy,1,Si,v0005,63,mace,,,-348.0436585264828,-349.7397878903957,-1.696129363912917,-5.524502516293378,-5.551425204609457,ok,,,2026-03-09T19:38:04Z,,finalizer
/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/__variations__/defects/vacancy/1-site/v0006,vacancy,1,Si,v0006,63,mace,,,-347.9231658792773,-349.4859687257743,-1.562802846496936,-5.522589934591704,-5.547396328980544,ok,,,2026-03-09T19:38:04Z,,finalizer
/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/__variations__/defects/vacancy/1-site/v0007,vacancy,1,Si,v0007,63,mace,,,-349.1558520632935,-351.3827886359583,-2.226936572664727,-5.542156381957041,-5.577504581523147,ok,,,2026-03-09T19:38:04Z,,finalizer
/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/__variations__/defects/vacancy/1-site/v0008,vacancy,1,Si,v0008,63,mace,,,-348.0596131146481,-351.3827594442463,-3.323146329598217,-5.524755763724572,-5.57750411816264,ok,,,2026-03-09T19:38:04Z,,finalizer
/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/__variations__/defects/vacancy/1-site/v0009,vacancy,1,Si,v0009,63,mace,,,-348.0006586883871,-350.7407850563037,-2.74012636791656,-5.523819979180748,-5.567314048512756,ok,,,2026-03-09T19:38:04Z,,finalizer
/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/__variations__/defects/vacancy/1-site/v0010,vacancy,1,Si,v0010,63,mace,,,-348.1304459092314,-351.6186148747846,-3.488168965553257,-5.525880093797323,-5.581247855155311,ok,,,2026-03-09T19:38:04Z,,finalizer
