species,done,total,status,concat
Ag,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/Ag/concat.png
Al,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/Al/concat.png
Ar,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/Ar/concat.png
Au,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/Au/concat.png
B,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/B/concat.png
Be,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/Be/concat.png
C,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/C/concat.png
Cl,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/Cl/concat.png
Cu,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/Cu/concat.png
F,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/F/concat.png
Fe,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/Fe/concat.png
Ge,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/Ge/concat.png
H,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/H/concat.png
He,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/He/concat.png
Li,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/Li/concat.png
Mg,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/Mg/concat.png
N,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/N/concat.png
Na,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/Na/concat.png
Ne,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/Ne/concat.png
O,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/O/concat.png
P,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/P/concat.png
S,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/S/concat.png
Si,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/Si/concat.png
Sn,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/Sn/concat.png
Ti,274,274,created,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/interstitial_tetra_site_maps/Ti/concat.png
