defect_type,species,points,frames,gif,mp4
interstitial_tetra,Ag,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/Ag.gif,
interstitial_tetra,Al,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/Al.gif,
interstitial_tetra,Ar,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/Ar.gif,
interstitial_tetra,Au,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/Au.gif,
interstitial_tetra,B,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/B.gif,
interstitial_tetra,Be,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/Be.gif,
interstitial_tetra,C,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/C.gif,
interstitial_tetra,Cl,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/Cl.gif,
interstitial_tetra,Cu,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/Cu.gif,
interstitial_tetra,F,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/F.gif,
interstitial_tetra,Fe,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/Fe.gif,
interstitial_tetra,Ge,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/Ge.gif,
interstitial_tetra,H,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/H.gif,
interstitial_tetra,He,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/He.gif,
interstitial_tetra,Li,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/Li.gif,
interstitial_tetra,Mg,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/Mg.gif,
interstitial_tetra,N,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/N.gif,
interstitial_tetra,Na,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/Na.gif,
interstitial_tetra,Ne,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/Ne.gif,
interstitial_tetra,O,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/O.gif,
interstitial_tetra,P,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/P.gif,
interstitial_tetra,S,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/S.gif,
interstitial_tetra,Si,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/Si.gif,
interstitial_tetra,Sn,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/Sn.gif,
interstitial_tetra,Ti,274,274,/home/alexander/research/projects/poly_axis_interfaces/micro_papers/mp1.1-sigma3-112-reproduction/data/structures/interfaces/1-axis/112/plots/site_energy_animations/interstitial_tetra/Ti.gif,
